frequency[Hz],gain (multiply value)
0,1
9.420776505,1
9.757233045,1.009473442
10.09368959,1.019630164
10.43014613,1.030520889
10.76660267,1.04220117
11.103057,1.054731891
11.43951354,1.068179832
11.77597008,1.082618293
12.11242662,1.098127808
12.44888316,1.114796926
12.7853397,1.132723106
13.12179624,1.152013715
13.45825278,1.172787152
13.79470932,1.195174106
14.13116366,1.219318975
14.4676202,1.24538146
14.80407674,1.273538343
15.14053328,1.303985479
15.47698982,1.336940017
15.81344636,1.372642841
16.1499029,1.411361272
16.48635944,1.453391963
16.82281598,1.499063996
17.15927031,1.548742071
17.49572685,1.602829652
17.83218339,1.66177181
18.16863993,1.726057395
18.50509647,1.796219883
18.84155301,1.872835983
19.17800955,1.95652052
19.51446609,2.04791551
19.85092263,2.147670287
20.18737697,2.256408317
20.52383351,2.374674607
20.86029005,2.502855874
21.19674659,2.641063929
21.53320313,2.788972468
21.86965967,2.945600441
22.20611621,3.109045261
22.54257275,3.276190545
22.87902929,3.442450216
23.21548362,3.601659999
23.55194016,3.746269618
23.8883967,3.867980531
24.22485324,3.958863353
24.56130978,4.012766775
24.89776632,4.026593357
25.23422286,4.000951294
25.5706794,3.939911327
25.90713594,3.849995052
26.24359028,3.738824819
26.91650336,3.481760444
27.2529599,3.347624367
27.58941644,3.215327065
27.92587298,3.087489267
28.59878606,2.851027049
28.9352426,2.743695109
29.27169693,2.643787907
29.60815347,2.551107331
30.28106655,2.386005742
30.61752309,2.312727939
31.29043617,2.182479763
31.62689271,2.124650576
31.96334925,2.071152996
32.63626013,1.975730412
32.97271667,1.933167447
33.64562975,1.856950148
33.98208629,1.822815863
34.65499937,1.761460433
34.99145591,1.733882586
35.66436678,1.684157346
36.33727986,1.640808501
36.6737364,1.621244999
37.34664948,1.585865903
38.01956256,1.554947685
38.3560191,1.540986322
39.02892998,1.51576063
39.70184306,1.493790716
40.37475614,1.47472647
41.04766922,1.458274044
41.38412576,1.450948482
42.05703663,1.437963359
42.72994971,1.427044664
43.40286279,1.418032948
44.07577587,1.410795073
44.74868675,1.405220614
45.42159983,1.401218932
46.09451291,1.398716809
46.76742599,1.39765652
47.7767934,1.398677281
48.44970648,1.401057625
49.12261956,1.404780189
49.79553264,1.409841965
50.46844572,1.416250201
51.47781314,1.428427488
52.15072622,1.438298597
52.8236393,1.449619294
53.83300892,1.469434245
54.50591979,1.484627722
55.51528941,1.510588565
56.18820249,1.530144369
57.19756991,1.563120372
58.20693953,1.600844889
58.87985261,1.628872119
59.88922223,1.675641006
60.89858964,1.72864487
61.57150272,1.767791994
62.58087234,1.832809805
63.59023976,1.906148497
64.59960938,1.988732301
65.608979,2.08152698
66.61834641,2.185482396
67.62771603,2.301431146
68.63708565,2.429920556
69.64645307,2.570949446
70.65582269,2.723580972
72.00164885,2.940711931
73.01101626,3.107435134
74.02038588,3.268813123
75.36621204,3.456905183
76.37557946,3.561748578
77.72140562,3.63319468
78.73077303,3.62899829
80.07659919,3.551199563
81.08596881,3.450128127
82.43179277,3.280103603
83.77761893,3.092581797
85.12344288,2.905671807
86.46926904,2.729957036
87.815093,2.570351957
89.16091916,2.428243342
90.50674532,2.303109187
91.85256927,2.193538944
93.19839543,2.097809781
94.54421939,2.014184554
96.22650209,1.924233882
97.57232604,1.862217518
99.25460874,1.79515355
100.6004327,1.748636095
102.2827154,1.698022609
103.9649959,1.654512068
105.3108221,1.624057635
106.9931025,1.590647068
108.6753852,1.561688064
110.3576657,1.536534915
112.0399484,1.514652634
113.7222289,1.495595703
115.740966,1.47593606
117.4232487,1.461864719
119.1055292,1.449618692
121.1242684,1.437027757
122.8065489,1.42807321
124.8252859,1.418940524
126.8440252,1.411352869
128.5263057,1.406070075
130.5450449,1.400835734
132.5637819,1.39667282
134.9189755,1.393008047
136.9377148,1.390769614
138.9564518,1.389270245
140.9751888,1.388432826
143.3303824,1.388203189
145.3491216,1.388580255
147.7043152,1.389618406
150.0595088,1.391234012
152.4147024,1.393365773
154.7698982,1.380446225
157.1250917,1.377436182
159.4802853,1.374051831
162.1719354,1.369772383
164.5271312,1.365703837
167.2187813,1.360721916
169.5739749,1.356100437
172.265625,1.350549129
174.9572751,1.344738872
177.6489252,1.338696373
180.3405753,1.332445499
183.368682,1.325190747
186.0603343,1.31856545
189.088441,1.310935492
191.7800911,1.304013494
194.8081977,1.296086984
197.8363044,1.288030245
200.8644111,1.279859464
204.2289743,1.270664834
207.2570809,1.262299749
210.2851876,1.253861914
213.6497508,1.244414445
217.0143117,1.234904195
220.3788749,1.225343491
223.7434381,1.215743532
227.1080013,1.206114509
230.8090211,1.195500084
234.5100408,1.184872969
237.874604,1.175209541
241.5756215,1.164585716
245.6130978,1.153012824
249.3141175,1.142427955
253.0151373,1.131872863
257.0526113,1.120399612
261.0900876,1.1089768
265.1275639,1.097611172
269.1650402,1.086308821
273.5389708,1.074142378
277.5764471,1.062988888
281.9503777,1.050994713
286.3243105,1.039097762
290.6982433,1.027302515
295.4086304,1.014718231
299.7825633,1.003146384
304.4929504,0.990810281
309.2033398,0.978607958
313.9137269,0.966542261
318.9605706,0.953769079
323.67096,0.941993638
328.7178036,0.929535644
334.1011039,0.916429662
339.1479498,0.90431522
344.53125,0.891578039
349.9145502,0.879032329
355.2978527,0.866678357
360.6811529,0.854516054
366.4009097,0.841803205
372.1206664,0.82930554
377.8404232,0.817021977
383.56018,0.804951162
